BIO221 Practical Bioinformatics PB	https://meet.google.com/ozb-mhtj-kne
BIO213 Introduction to Quantitative Biology IQB	
CSE202 Fundamentals of Database Systems DBMS	https://zoom.us/j/3605120492?pwd=WUh1SVRwRDdZM1NJYkRuYzkzVGVFZz09
CSE222 Analysis and Design of Algorithms ADA	https://iiitd-ac-in.zoom.us/j/97530698005?pwd=Z0J0VFNSSTlkMmN2QTY1WW4zbXJ6QT09
CSE223 Analysis and Design of Algorithms(B) ADA(B)	https://meet.google.com/cre-xqnk-esw
CSE322 Theory of Computation TOC	https://iiitd-ac-in.zoom.us/j/98562021116?pwd=MlFJZTdlQ0lWNmRqSlNKbXIrT0FqQT09
CSE342/CSE542 Statistical Machine Learning SML	https://iiitd-ac-in.zoom.us/j/98358535889?pwd=RmlpZyttaUI4Z1gxUzVETjFjbzRiUT09
ECO221 Econometrics I ECOI	https://iiitd-ac-in.zoom.us/j/98618966419?pwd=TllFS0NqN2Y1RjViWDlGWFdUUVVZdz09 
MTH377/MTH577 Convex Optimization COO	https://iiitd-ac-in.zoom.us/j/91755559364?pwd=UFJKRFNsdE1tbmVscGxsRlFjZjRIdz09
ECE214 Integrated Electronics IE	https://meet.google.com/idh-wzqt-oqe
ECE230 Fields and Waves FW	https://meet.google.com/gqq-ktkv-imd
ECE240 Principles of Communication Systems PCS	https://meet.google.com/lookup/gquouqsv23
MTH204 Maths IV - ODE/PDE MIV	https://iiitd-ac-in.zoom.us/j/99628803349?pwd=QmxYVzhSQ1F3Zjd4dS9MUUdVYVBuZz09
MTH212 Abstract Algebra I AAI	https://iiitd-ac-in.zoom.us/j/92666973725?pwd=ZzNFS3ZrNjZFbS9PenkrWEE4R0E3UT09
MTH300 Introduction to Mathematical logic IML	https://iiitd-ac-in.zoom.us/j/95308879027?pwd=M3JUZ2FVS1BRRGdabGNiSCtIOVZIUT09
MTH310 Graph Theory GT	https://iiitd-ac-in.zoom.us/j/98098995205?pwd=cDdkcXBxTi9xYWdkZUxFRHdCMklqdz09
MTH372 Statistical Inference SI	https://meet.google.com/lookup/eqkzk62ewf
DES204 Human Computer Ineraction HCI	Join Zoom Meeting https://iiitd-ac-in.zoom.us/j/96272226706?pwd=QzNOQ3hvQ2diYi8wNjRLb0tYcDFVQT09 Meeting ID: 962 7222 6706 Passcode: 322259
DES205 Design of Interactive Systems(New) DIS	https://iiitd-ac-in.zoom.us/j/99094037039?pwd=MTBOYkNPT0lTK2VrWm96RS9yZVRoQT09
BIO522 Algorithms in Computational Biology ACB	https://meet.google.com/lookup/ezt4j724gp?authuser=0&hs=179
BIO531 Introduction to Mathematical Biology IMB	https://meet.google.com/yqj-cfgg-dcp
BIO534 Introduction to Computational Neuroscience ICN	https://meet.google.com/yiz-gwek-tnw
BIO541 Data Sciences for Genomics DSG	https://meet.google.com/edp-jqnz-jdc
BIO543 Big Data Mining in Healthcare BDMH	https://iiitd-ac-in.zoom.us/j/95707789777?pwd=eXRjbW9iOC9jWmtod2xYUUZTSGRYQT09
BIO545 Biostatistics BStats	https://meet.google.com/fgk-jdhd-qpu
BIO563 Computer Aided Drug Design CADD	https://iiitd-ac-in.zoom.us/j/94112437306?pwd=ZzRma1psTDBveGRPR0RVZkFVUFFGQT09
CSE343/ECE363/ ECE563 Machine Learning ML	Join Zoom Meeting    Meeting ID: 920 1215 3373 Passcode: 493236
CSE344/CSE544/ ECE344/ECE544 Computer Vision CV	https://iiitd-ac-in.zoom.us/j/91473356447?pwd=UE5XdkExNDJVZDBEWE1zTFJaVWdCZz09
CSE354/CSE554 Networks and System Security II (New) NSSII	https://meet.google.com/lookup/eiwlfnvrvi?authuser=0&hs=179
CSE502 Foundations of Parallel Programing FPP	https://iiitd-ac-in.zoom.us/j/97270796244?pwd=SmZvck9ZRU5sYWR4UGdqT09DQkxTdz09
